ESC. BAS. Nº 838,1,2,15,1,CONCEPCION,CONCEPCION,EMILIO PEREIRA,19022
ESC. BAS. Nº 2582,1,2,16,1,CONCEPCION,CONCEPCION,CORONEL MONGES,10000
ESC. BAS. Nº 2087,1,2,17,1,CONCEPCION,CONCEPCION,GRAL. DIAZ,19685
ESC. BAS. Nº 2460 NIÑO MILAGROSO,1,2,18,1,CONCEPCION,CONCEPCION,CHOFERES DEL CHACO,10000
ESC. BAS. Nº 4912 GUSTAVO AGUSTIN GIMENEZ,1,2,19,1,CONCEPCION,CONCEPCION,BARRIO VILLA OLIVA,1680
ESC. BAS. Nº 2322 MARISCAL FRANCISCO S. LOPEZ,1,2,20,1,CONCEPCION,CONCEPCION,SARGENTO JOSE LOPEZ,18115
ESC. BAS. Nº 1722 Y COLEGIO NACIONAL CURUZU ÑU,1,2,21,1,CONCEPCION,CONCEPCION,CURUZU ÑU,15000
ESC. BAS. Nº 595,1,2,22,1,CONCEPCION,CONCEPCION,GRAL. DIAZ,13024
ESC,1,2,23,1,CONCEPCION,CONCEPCION,COL.COE PORA - PASTORIL,76082840
ESC. BAS. Nº 4933 SAN JOSE OBRERO,1,2,24,1,CONCEPCION,CONCEPCION,COLONIA AQUIDABAN,0
ESC. BAS. Nº 2096,1,2,25,1,CONCEPCION,CONCEPCION,MARIA AUXILIADORA,2500
ESC. BAS. Nº 2096,1,2,25,2,CONCEPCION,CONCEPCION,COL.MARIA AUXILIADORA-SAN JUAN,19348
ESC. BAS. Nº 2091,1,2,26,1,CONCEPCION,CONCEPCION,COLONIA EMILIO ROMERO PEREIRA,10370
ESC. BAS. Nº 4343 DR. RAUL PEÑA Y COLEGIO NACIONAL,1,2,27,1,CONCEPCION,CONCEPCION,ALFONSO CUE.,7500
ESC. BAS. Nº 4922,1,2,28,1,CONCEPCION,CONCEPCION,COLONIA CNEL. JOSE MONGELOZ.,10000
ESC. BAS. Nº 6871 VIRGEN DEL ROSARIO,1,2,29,1,CONCEPCION,CONCEPCION,MUNICIPIO,6952
ESC. BAS. Nº 2094,1,2,30,1,CONCEPCION,CONCEPCION,EMILIO ROMERO PEREIRA,702
ESC. BAS. Nº 2094,1,2,30,2,CONCEPCION,CONCEPCION,COL.EMILIO R. PEREIRA-MANZ SAN BLAS,102575384
LIC.NAC.SAN BLAS,1,2,31,1,CONCEPCION,CONCEPCION,EMILIO R.PEREIRA,8671
ESC. BAS. Nº 2075,1,2,32,1,CONCEPCION,CONCEPCION,PICADA CARDUZ-COSTA ALEGRE,6000
ESC. BAS. Nº 1784,1,2,33,1,CONCEPCION,CONCEPCION,BARRIO SAN JORGE,10000
ESC. BAS. Nº 1800,1,2,34,1,CONCEPCION,CONCEPCION,SGTO.JOSE FELIX LOPEZ,10000
COLEGIO NACIONAL SAN ROQUE DE POTRERITO,1,2,35,1,CONCEPCION,CONCEPCION,COLONIA GRAL.DIAZ-POTRERITO,2245
ESC. BAS. Nº 1732,1,2,39,1,CONCEPCION,CONCEPCION,JORGE S.MIRANDA,9200
ESC. BAS. Nº 358 MAYOR ENRIQUE PLANAS,1,2,40,1,CONCEPCION,CONCEPCION,MUNICIPIO,10000
ESC. BAS. Nº 6991 VIRGEN DE FATIMA,1,2,41,1,CONCEPCION,CONCEPCION,COL.1 DE MAYO,33928492
ESC. BAS. Nº 2090,1,2,42,1,CONCEPCION,CONCEPCION,COL.EMILIO PEREIRA-SAN JOSE,27334
ESC. BAS. Nº 15308,1,2,44,1,CONCEPCION,CONCEPCION,COLONIA PASO BARRETO - ISLA TUYU,20614464
ESC. BAS. Nº 15251,1,2,46,1,CONCEPCION,CONCEPCION,COL.PASO BARRETO INMACULADA,35864076
ESC. BAS. Nº 2670,1,2,47,1,CONCEPCION,CONCEPCION,COL.ROBERTO L. PETIT-JHUGUA TUBO,67384536
ESC. BAS. Nº 3229 JORGE SEBASTIAN MIRANDA,1,2,48,1,CONCEPCION,CONCEPCION,COL. JORGE S. MIRANDA- JHUGUÁ ÑANDÚ,10000
ESC. BAS. Nº 6860 MARIA DEL ROSARIO TORRES ARGUELLO,1,2,49,1,CONCEPCION,CONCEPCION,BARRIO PRIMAVERA,1000
ESC. BAS. Nº 6860 MARIA DEL ROSARIO TORRES ARGUELLO,1,2,49,2,CONCEPCION,CONCEPCION,BARRIO PRIMAVERA,543
LICEO NACIONAL CNEL. MONGELOS,1,2,50,1,CONCEPCION,CONCEPCION,CÑIA.CNEL. MONGELOS,10000
ESC. BAS. Nº 7282 SAN ISIDRO LABRADOR,1,2,51,1,CONCEPCION,CONCEPCION,MUNICIPIO,938
ESC. BAS. Nº 1311 Y COLEGIO NACIONAL MARTIRES DE CERRO CORA,1,3,1,1,HORQUETA,CONCEPCION,HORQUETA,30000
ESC. BAS. Nº 28 Y COLEGIO NACIONAL PROCERES DE MAYO,1,3,2,1,HORQUETA,CONCEPCION,HORQUETA,10000
ESC. BAS. Nº 1779 SAN JOSE,1,3,3,1,HORQUETA,CONCEPCION,EPOPEYA NACIONAL,21000
ESC. BAS. Nº 2071,1,3,4,1,HORQUETA,CONCEPCION,COSTA CLAVEL,15383
ESC. BAS. Nº 2071,1,3,4,2,HORQUETA,CONCEPCION,COSTA CLAVEL,153838208
ESC. BAS. Nº 1304 LEONISMO PARAGUAYO,1,3,5,1,HORQUETA,CONCEPCION,CERRO MEMBY,20000
ESC. BAS. Nº 2451,1,3,6,1,HORQUETA,CONCEPCION,ÑEPYTYVO,29374
ESC. BAS. Nº 4134,1,3,7,1,HORQUETA,CONCEPCION,COLONIA EPOPEYA NACIONAL,25418
ESC. BAS. Nº 519 ZAPADORES DEL CHACO,1,3,8,1,HORQUETA,CONCEPCION,HORQUETA,20000
ESC. BAS. Nº 4136 MARTIRES DE ACOSTA ÑU,1,3,9,1,HORQUETA,CONCEPCION,CERRO MEMBY,40000
M.E.C.,1,3,10,1,HORQUETA,CONCEPCION,EPOPEYA NACIONAL,20000
M.E.C.,1,3,11,1,HORQUETA,CONCEPCION,YBY YAU,15000
ESC. BAS. Nº 513 MCAL.ESTIGARRIBIA Y ALFAB.1-32,1,3,12,1,HORQUETA,CONCEPCION,JOSE BERGES,32879
COLEGIO NAC. MARISCAL LOPEZ,1,3,13,1,HORQUETA,CONCEPCION,TACUARA,9600
ESC. BAS. Nº 1717 MARISCAL F.S. LOPEZ,1,3,14,1,HORQUETA,CONCEPCION,TACUARA,9940
